Tipo_embalaje,Peso,Tipo_manipulacion,Lugar_procedencia,Temp_almacenamiento,Largo,Ancho,Altura,Protocolo
2,14.2,1,2,1,86,12,12,2
3,165.2,1,2,1,62,92,95,2
1,245.8,1,4,2,28,19,17,1
3,13.6,1,3,2,63,53,22,1
3,78.2,1,3,2,58,33,55,1
2,89.9,2,4,1,86,15,31,2
1,166.1,2,4,1,50,32,76,2
3,229.5,1,4,1,38,29,63,2
3,177.5,1,4,1,59,90,95,2
1,226.2,1,3,2,93,96,100,1
1,129,1,2,2,8,17,93,1
2,77.3,1,4,2,8,32,96,1
2,97.3,1,1,1,42,51,12,2
3,10.5,1,4,2,12,82,86,1
1,118,2,3,1,10,18,17,2
2,77.8,2,3,1,76,74,35,2
3,75.8,2,1,1,62,79,7,2
2,239.5,1,4,2,39,85,49,1
3,88.9,2,1,1,62,91,81,2
1,132.2,1,4,1,96,66,53,2
2,57.8,2,2,1,25,56,9,2
1,28,2,2,2,40,68,61,2
2,172.3,2,4,2,74,56,58,2
1,43.4,2,4,1,11,49,56,2
3,249.9,2,1,2,60,33,6,2
1,160.1,2,4,1,16,9,45,2
2,148,2,3,1,88,33,86,2
3,17.5,2,2,2,16,42,66,2
2,223.8,2,3,1,47,68,18,2
3,174.2,2,1,1,71,67,80,2
3,203,2,4,1,82,47,42,2
1,175.2,2,4,2,14,36,19,2
2,32.8,2,4,1,14,17,70,2
3,101.7,2,2,1,16,29,31,2
2,71.9,2,4,1,38,41,23,2
3,18.2,2,4,1,98,98,32,2
1,99.9,2,3,2,15,98,99,2
1,23.6,1,1,2,40,48,86,1
3,225.6,1,2,1,98,94,82,2
3,226.6,2,4,1,15,12,62,2
3,34.3,1,3,2,84,25,16,1
1,18.3,1,2,2,84,8,33,1
2,196.4,2,2,2,8,19,25,2
1,78,2,1,2,72,54,52,2
1,247.4,1,4,1,77,79,39,2
1,66.9,2,4,2,66,75,17,2
2,189.2,1,1,1,10,72,38,2
1,132.5,1,4,2,29,59,98,1
3,96.2,1,1,1,22,74,46,2
2,19.9,2,1,1,94,21,97,2
1,231,2,3,1,59,48,21,2
2,16.6,2,2,2,81,42,78,2
3,181.7,1,4,2,79,54,99,1
1,31,1,3,2,90,37,21,1
2,201.7,2,3,2,67,86,41,2
1,149.4,2,4,1,64,51,83,2
2,23.7,1,4,2,31,46,7,1
2,160.9,2,1,2,96,37,49,2
1,95.3,2,2,2,90,92,65,2
2,32.1,1,3,2,15,94,45,1
3,137,1,3,2,34,56,32,1
2,39.8,2,2,1,35,25,96,2
2,206.3,2,1,1,70,50,49,2
2,75.5,2,3,1,83,33,49,2
2,189.4,2,2,2,97,24,49,2
1,108.8,2,3,1,7,97,97,2
1,82.3,1,3,1,50,61,8,2
2,93.6,1,3,2,72,84,81,1
3,212.3,2,4,1,85,15,75,2
3,242.4,2,1,1,30,79,85,2
1,159,1,1,1,20,37,95,2
1,82.6,1,4,2,54,56,33,1
3,190.5,2,2,2,95,42,66,2
2,43.9,1,3,2,46,99,7,1
1,17.2,1,4,1,21,46,96,2
3,59.1,2,4,2,68,49,51,2
2,21.6,1,3,1,36,9,99,2
3,247.9,2,3,2,40,39,68,2
3,80.7,1,2,2,27,17,5,1
1,243.3,2,2,2,14,69,69,2
1,186.7,1,4,2,59,73,14,1
1,111.5,2,1,2,8,98,26,2
1,103.7,2,3,1,96,94,31,2
1,196.3,1,1,2,36,74,100,1
2,182.2,2,4,1,32,20,15,2
1,30.3,1,3,2,76,25,90,1
1,92.7,2,4,2,95,35,61,2
2,219.3,2,3,1,90,19,21,2
3,214,2,1,1,63,26,93,2
1,155.1,2,1,2,80,21,89,2
3,192.2,2,1,2,25,43,31,2
3,91.7,1,2,2,47,85,65,1
2,231.7,1,1,1,25,42,93,2
2,28.5,1,1,2,33,5,63,1
1,118.3,2,2,1,63,61,45,2
1,69,1,4,2,99,50,19,1
3,11.5,1,2,2,76,54,33,1
2,175.6,1,2,2,94,41,7,1
1,143.9,1,2,1,20,90,19,2
3,97.8,1,3,2,84,99,40,1
2,179.5,2,1,2,98,34,98,2
1,69.3,1,4,2,16,21,66,1
1,123.1,2,1,1,31,80,57,2
3,190,2,2,2,18,100,72,2
3,102.8,1,3,2,42,84,46,1
2,60.4,1,2,2,97,38,90,1
2,156.6,1,4,2,92,54,90,1
3,205.1,1,1,1,7,38,24,2
2,180.6,1,4,1,74,83,51,2
2,8.1,2,3,2,94,35,46,2
1,38.6,2,3,1,86,69,65,2
1,204.2,2,3,2,92,43,74,2
1,179.5,1,3,1,29,36,32,2
3,231.4,2,4,2,39,43,79,2
1,57.7,1,3,1,42,36,38,2
3,38.5,1,3,1,7,81,35,2
2,79.1,1,1,2,30,95,40,1
1,237.6,2,2,2,79,10,15,2
3,150.3,2,3,1,81,64,63,2
2,208.4,1,1,2,59,70,11,1
3,133.8,2,3,1,58,83,63,2
1,36.4,1,3,1,38,16,74,2
3,49.5,2,2,2,50,77,98,2
2,93.6,1,2,1,70,84,52,2
1,130.7,1,1,2,73,88,68,1
1,22.8,2,2,1,92,39,30,2
2,121.8,2,2,2,23,5,75,2
2,176.2,2,2,2,18,38,96,2
3,94.1,2,1,2,90,24,41,2
1,112,2,2,2,14,17,29,2
3,148.1,1,1,1,10,61,20,2
1,222.2,1,3,2,34,45,10,1
3,122.1,1,2,1,83,63,20,2
1,208,1,1,1,48,66,96,2
2,101.8,2,3,2,20,64,52,2
